"TIME","LAT","LON","UA (en UA)","VA","Altitude"
2017-07-16_12:00:00, 39.95,  -1.04, -1.63,  3.35,1116.99
2017-07-16_12:00:00, 39.95,  -1.04, -1.63,  3.35,1142.21
2017-07-16_12:00:00, 39.95,  -1.04, -1.63,  3.36,1188.66
2017-07-16_12:00:00, 39.95,  -1.04, -1.62,  3.36,1252.35
2017-07-16_12:00:00, 39.95,  -1.04, -1.63,  3.38,1329.36
2017-07-16_12:00:00, 39.95,  -1.04, -1.65,  3.50,1419.80
2017-07-16_12:00:00, 39.95,  -1.04, -1.66,  3.67,1523.79
2017-07-16_12:00:00, 39.95,  -1.04, -1.65,  3.80,1632.75
2017-07-16_12:00:00, 39.95,  -1.04, -1.61,  3.90,1742.55
2017-07-16_12:00:00, 39.95,  -1.04, -1.51,  3.91,1857.73
2017-07-16_12:00:00, 39.95,  -1.04, -1.36,  3.83,1969.49
2017-07-16_12:00:00, 39.95,  -1.04, -1.15,  3.64,2082.38
2017-07-16_12:00:00, 39.95,  -1.04, -0.84,  3.32,2196.35
2017-07-16_12:00:00, 39.95,  -1.04, -0.43,  2.85,2311.53
2017-07-16_12:00:00, 39.95,  -1.04,  0.04,  2.27,2432.56
2017-07-16_12:00:00, 39.95,  -1.04,  0.58,  1.62,2559.69
2017-07-16_12:00:00, 39.95,  -1.04,  1.19,  0.97,2688.27
2017-07-16_12:00:00, 39.95,  -1.04,  1.81,  0.38,2813.59
2017-07-16_12:00:00, 39.95,  -1.04,  2.43, -0.13,2945.32
2017-07-16_12:00:00, 39.95,  -1.04,  3.04, -0.59,3083.62
2017-07-16_12:00:00, 39.95,  -1.04,  3.61, -0.96,3223.72
2017-07-16_12:00:00, 39.95,  -1.04,  4.01, -1.22,3370.76
2017-07-16_12:00:00, 39.95,  -1.04,  4.30, -1.36,3530.09
2017-07-16_12:00:00, 39.95,  -1.04,  4.51, -1.42,3696.95
2017-07-16_12:00:00, 39.95,  -1.04,  4.61, -1.44,3866.38
2017-07-16_12:00:00, 39.95,  -1.04,  4.67, -1.47,4049.54
2017-07-16_12:00:00, 39.95,  -1.04,  4.72, -1.52,4247.06
2017-07-16_12:00:00, 39.95,  -1.04,  4.75, -1.54,4465.78
2017-07-16_12:00:00, 39.95,  -1.04,  5.01, -1.51,4730.27
2017-07-16_12:00:00, 39.95,  -1.04,  5.33, -1.40,5068.52
2017-07-16_12:00:00, 39.95,  -1.04,  5.29, -1.20,5487.39
2017-07-16_12:00:00, 39.95,  -1.04,  4.44, -0.69,5984.15
2017-07-16_12:00:00, 39.95,  -1.04,  2.35,  0.55,6570.03
2017-07-16_12:00:00, 39.95,  -1.04,  0.63,  1.54,7206.96
2017-07-16_12:00:00, 39.95,  -1.04, -0.18,  1.91,7840.12
2017-07-16_12:00:00, 39.95,  -1.04, -0.46,  1.94,8440.66
2017-07-16_12:00:00, 39.95,  -1.04, -0.62,  1.95,8963.28
2017-07-16_12:00:00, 39.95,  -1.04, -0.48,  1.83,9394.52
2017-07-16_12:00:00, 39.95,  -1.04,  0.12,  1.43,9799.01
2017-07-16_12:00:00, 39.95,  -1.04,  1.63,  0.46,10233.70
2017-07-16_12:00:00, 39.95,  -1.04,  3.86, -0.85,10691.39
2017-07-16_12:00:00, 39.95,  -1.04,  7.48, -2.70,11189.05
2017-07-16_12:00:00, 39.95,  -1.04, 11.98, -4.81,11731.69
2017-07-16_12:00:00, 39.95,  -1.04, 16.64, -6.96,12316.91
2017-07-16_12:00:00, 39.95,  -1.04, 19.16, -8.34,12965.53
2017-07-16_12:00:00, 39.95,  -1.04, 19.95, -9.07,13676.41
2017-07-16_12:00:00, 39.95,  -1.04, 18.30, -8.92,14486.29
2017-07-16_12:00:00, 39.95,  -1.04, 14.12, -7.83,15429.81
2017-07-16_12:00:00, 39.95,  -1.04,  7.67, -5.84,16543.04
2017-07-16_12:00:00, 39.95,  -1.04,  0.72, -3.59,17948.42
2017-07-16_12:00:00, 39.95,  -1.04, -4.73, -1.12,19845.58
